Southern Living,@Southern_Living,southernliving.com
InStyle,@InStyle,instyle.com
Sports Illustrated,@SInow,si.com
People,@people,people.com
TIME,@TIME,time.com
Cooking Light,@Cooking_Light,cookinglight.com
Food & Wine,@foodandwine,foodandwine.com
Travel + Leisure,@TravelLeisure,travelandleisure.com
Furtune,@FortuneMagazine,fortune.com
LIFE,@LIFE,life.com
GOLF.com,@golf_com,golf.com
ESSENCE,@Essence,essence.com
Real Simple,@Real_Simple,realsimple.com
Entertainment Weekly,@EW,ew.com
Coastal Living,@Coastalliving @CoastallivingMag,coastalliving.com
