,clickstream_userid,S0,S1,S2,S3,Model Score S0,Model Score S1,Model Score S2,Model Score S3
efdc5a043617e7bfac85a45697ce22e4,efdc5a043617e7bfac85a45697ce22e4,0,0,1,0,0.12,0.02,0.82,0.08
0d7e7a3d82145a6b15f765230753b9dc,0d7e7a3d82145a6b15f765230753b9dc,1,0,0,0,0.72,0.04,0.2,0.0
40c83466de1857c0c3f2167a886930b3,40c83466de1857c0c3f2167a886930b3,1,0,0,0,0.8,0.1,0.16,0.24
64e22a5abb35421003389618f9c04160,64e22a5abb35421003389618f9c04160,0,0,1,0,0.16,0.0,0.76,0.04
fb30dd1fb21313f1a9fb0c8aef04504c,fb30dd1fb21313f1a9fb0c8aef04504c,1,0,0,0,0.44,0.12,0.14,0.02
cc2f22078477ac54e93485bafe86c8ec,cc2f22078477ac54e93485bafe86c8ec,1,0,0,0,0.82,0.02,0.26,0.04
a4ce94c6bd905281279f7a59f36fd804,a4ce94c6bd905281279f7a59f36fd804,0,0,1,0,0.08,0.02,0.84,0.08
dfd30b1c074e6a87e856084f53f02df8,dfd30b1c074e6a87e856084f53f02df8,1,0,0,0,0.78,0.0,0.16,0.18
331675f6915c3d19cb0b2bed304447ad,331675f6915c3d19cb0b2bed304447ad,1,0,0,0,0.78,0.04,0.12,0.18
aa810b108ebb6b504f1fa9509be528fa,aa810b108ebb6b504f1fa9509be528fa,0,0,1,0,0.2,0.06,0.8,0.06
b1bb16b9f2b14c6c76772a7b12585d73,b1bb16b9f2b14c6c76772a7b12585d73,1,0,0,0,0.74,0.08,0.16,0.04
5163ac84bac111dc076983a7658b0a82,5163ac84bac111dc076983a7658b0a82,1,0,0,0,0.68,0.04,0.06,0.06
54e3f5ca94d29c86c9d7fec3724cf48b,54e3f5ca94d29c86c9d7fec3724cf48b,0,0,1,0,0.1,0.0,0.8,0.02
207e255f230115f80a283f9ebd16123a,207e255f230115f80a283f9ebd16123a,0,1,0,0,0.16,0.82,0.16,0.08
a5733a350180218426e5f024963d08f3,a5733a350180218426e5f024963d08f3,1,0,0,0,0.22,0.04,0.1,0.06
73383651afc93abac9e111670b0200cd,73383651afc93abac9e111670b0200cd,0,0,1,0,0.06,0.04,0.76,0.1
8cdf82d9c26f2beb62b425188226e428,8cdf82d9c26f2beb62b425188226e428,0,0,0,1,0.22,0.1,0.32,0.78
da64c5437fe9e5a3a011e6826adef0fc,da64c5437fe9e5a3a011e6826adef0fc,0,0,1,0,0.14,0.02,0.715,0.0
e6274db311e466e5ed5b3fcf6952ef8b,e6274db311e466e5ed5b3fcf6952ef8b,0,1,0,0,0.12,0.82,0.22,0.08
6c47f4c6d78f0a89fa15e23cd8d4d38e,6c47f4c6d78f0a89fa15e23cd8d4d38e,0,1,0,0,0.12,0.62,0.08,0.1
d4b28434f5577bd4931159d693dc12f4,d4b28434f5577bd4931159d693dc12f4,0,0,0,1,0.12,0.14,0.16,0.68
2144cefde05d2edec2b61d63f1f506b6,2144cefde05d2edec2b61d63f1f506b6,1,0,0,0,0.78,0.02,0.14,0.06
3e06183723dabe3a98c72a2be5bf0f62,3e06183723dabe3a98c72a2be5bf0f62,0,0,1,0,0.2,0.0,0.62,0.04
9385879f25f3733926a21c8fe9667c4c,9385879f25f3733926a21c8fe9667c4c,1,0,0,0,0.52,0.0,0.16,0.08
5da691a80e5a24c061d91f1c60695669,5da691a80e5a24c061d91f1c60695669,1,0,0,0,0.7,0.06,0.12,0.04
d9f01fdd5f8df774ba11714a16684135,d9f01fdd5f8df774ba11714a16684135,0,1,0,0,0.14,0.64,0.12,0.04
4494aa16c1a991e508d2391f456dd6cc,4494aa16c1a991e508d2391f456dd6cc,0,0,1,0,0.2,0.02,0.76,0.04
6d32d479779dae8ba6acc8fdbdb3e1ea,6d32d479779dae8ba6acc8fdbdb3e1ea,1,0,0,0,0.86,0.08,0.12,0.04
ea9b1dc19ffc4bfdeb4ccd102d253b6c,ea9b1dc19ffc4bfdeb4ccd102d253b6c,1,0,0,0,0.78,0.02,0.18,0.04
5c365d6e990b1e67be9e1aaff1d1e3b0,5c365d6e990b1e67be9e1aaff1d1e3b0,0,0,1,0,0.2,0.02,0.76,0.02
8a6d6034a64604dfbaee50af5ed59855,8a6d6034a64604dfbaee50af5ed59855,0,0,1,0,0.18,0.06,0.74,0.04
7fcaca678ed6db47dee8838a2b220138,7fcaca678ed6db47dee8838a2b220138,0,1,0,0,0.12,0.6,0.14,0.04
64c8270759d3a60e19c32f64b487047d,64c8270759d3a60e19c32f64b487047d,0,0,1,0,0.16,0.06,0.8,0.04
349142c01e194f8bdff0d3d6a1fd5e9b,349142c01e194f8bdff0d3d6a1fd5e9b,0,0,0,1,0.16,0.02,0.1,0.68
e140d29850e3fc438d670c0030c10879,e140d29850e3fc438d670c0030c10879,1,0,0,0,0.62,0.1,0.24,0.04
f32dd42bfb4b4c412dc0e72874540655,f32dd42bfb4b4c412dc0e72874540655,0,0,1,0,0.1,0.04,0.38,0.06
3786d082d3424fb46b5b2fa7e0295044,3786d082d3424fb46b5b2fa7e0295044,0,0,1,0,0.36,0.14,0.76,0.08
d1f2f957cf5bac581cbe9436b362a2c2,d1f2f957cf5bac581cbe9436b362a2c2,1,0,0,0,0.86,0.04,0.14,0.0
6bbe872ebcf4acd36b59ecaf08ac7600,6bbe872ebcf4acd36b59ecaf08ac7600,1,0,0,0,0.82,0.08,0.06,0.06
74de3b21d2bc896a890a7f98e1371301,74de3b21d2bc896a890a7f98e1371301,0,1,0,0,0.16,0.76,0.12,0.02
261acde57db418fa60ffca94a3efcc76,261acde57db418fa60ffca94a3efcc76,0,1,0,0,0.18,0.68,0.1,0.02
705d88f0d0bcf2ba2abbe9eeeff9eb7b,705d88f0d0bcf2ba2abbe9eeeff9eb7b,0,1,0,0,0.12,0.76,0.12,0.04
9f254867fee17bc9f515b02fdacabf4a,9f254867fee17bc9f515b02fdacabf4a,1,0,0,0,0.3,0.02,0.14,0.06
1e13aafb463651581c054eac4c1d339f,1e13aafb463651581c054eac4c1d339f,1,0,0,0,0.7,0.22,0.457952380952381,0.08066666666666666
9908cc5a46e6b1de50d7e619e0175bc4,9908cc5a46e6b1de50d7e619e0175bc4,0,0,1,0,0.2,0.12,0.82,0.08
8d0abb7174663b9655a3390e301ae783,8d0abb7174663b9655a3390e301ae783,0,0,1,0,0.18,0.0,0.78,0.06
acdc46c8c4d2e53a04ba42d8e628d997,acdc46c8c4d2e53a04ba42d8e628d997,1,0,0,0,0.68,0.02,0.1,0.06
bc24e74945306c7889e45f2388307209,bc24e74945306c7889e45f2388307209,1,0,0,0,0.78,0.08,0.14,0.04
4abd5702b3fa99be8379d1bfbcd5cc56,4abd5702b3fa99be8379d1bfbcd5cc56,0,0,0,1,0.1,0.08,0.12,0.62
34a9c0a14ed344672ce95f69a51d1c7b,34a9c0a14ed344672ce95f69a51d1c7b,1,0,0,0,0.74,0.02,0.16,0.08
f1e76cafe9f59420a5d3381db1fd2a7e,f1e76cafe9f59420a5d3381db1fd2a7e,0,0,1,0,0.12,0.06,0.72,0.02
c279ffbc448a65eb04c7676840160d3e,c279ffbc448a65eb04c7676840160d3e,0,0,1,0,0.12,0.02,0.78,0.1
df83f0028f9505ebf512668aee0b4ce6,df83f0028f9505ebf512668aee0b4ce6,0,0,1,0,0.08,0.12,0.88,0.06
c839957d3fe6265d9cf6c2fa19ee046c,c839957d3fe6265d9cf6c2fa19ee046c,1,0,0,0,0.66,0.02,0.22,0.08
01b99d9627749ff344ace3e40af465a0,01b99d9627749ff344ace3e40af465a0,1,0,0,0,0.5,0.04,0.26,0.02
c6fbaf0d78419677ce8559ba099d9a3a,c6fbaf0d78419677ce8559ba099d9a3a,1,0,0,0,0.88,0.06,0.38,0.02
439a6d16b3cf525f76b7219ae61d1ce5,439a6d16b3cf525f76b7219ae61d1ce5,0,0,1,0,0.1,0.0,0.76,0.02
09cf4a77fd4991c65c8f5bbadd448a51,09cf4a77fd4991c65c8f5bbadd448a51,1,0,0,0,0.62,0.06,0.16,0.08
3ea023ddc5effdc8d4c0f21550f04b01,3ea023ddc5effdc8d4c0f21550f04b01,0,0,0,1,0.14,0.06,0.06,0.74
