Twitter Userid,Cluster Label
701854469089263616,3
713805186624520193,2
760238643462012930,3
712410877962616835,3
769274670323466244,3
213865814,3
706546393926598657,3
2557739018,2
579469323,1
719179520171835394,3
796422017176240131,3
147097428,3
47710233,3
802179227525251077,3
541720608,0
719253431064506368,3
69074978,3
3869638693,0
798972929035927559,3
2433613868,3
16908343,0
4100849721,0
724980759744765952,3
249692227,0
802208674580152321,3
2576547852,0
844365901,3
2389966928,0
266731602,3
14286932,3
1714421846,3
723248117085298688,3
248512610,0
807889420590452736,3
447348838,3
22151272,0
469237868,3
3653501042,3
12189812,3
580386934,3
4824367223,3
21102715,3
3320862058,3
332005505,1
2357985415,3
118096011,3
797868256472113152,3
295853377,0
276387181,3
3784966289,3
3384541335,3
2565865626,3
2475819170,3
361824283,3
993001638,3
196695409,0
36700330,0
163578034,3
2547515575,3
3895066812,3
2749366463,3
580911296,3
572391626,0
790392233090396160,0
961413326,3
608567508,3
55574742,1
804763132015034370,3
733216988,3
108527843,3
415891685,3
584668541,3
1080033523,3
2965242103,3
138543353,3
461635838,0
2955280644,3
146494849,3
1104150794,3
4238977751,3
995492112,0
3329360150,3
2575674073,3
75628827,3
819559581231812608,3
276562207,3
225684187,1
14156070,0
28180775,0
1486420321,0
2206466353,0
2418802997,1
1625620532,3
113508673,0
2234013068,0
713465972015935488,3
334365006,3
103940432,3
1393951058,3
18743637,3
18612572,3
4892787039,3
748290402,3
1458438499,3
64902545,3
14680425,0
3069051242,0
42729835,0
404226412,3
2257999250,0
1054081392,3
237633907,1
719558109438603264,3
252182902,1
16279673,3
773273174548975616,3
911606138,3
748558945590059008,0
41419151,3
409056769,3
742759797645291521,1
782759604652572672,3
3222274455,3
27001242,3
17695131,0
347341212,2
1920598429,2
16253346,3
783024547,1
473039271,1
280494505,3
4466737223,3
451281325,0
132655244,0
805189538041581568,3
1561592245,3
1651769786,0
496107966,1
594149825,3
1092354498,3
26476997,3
126222793,3
3720217034,0
2362442189,3
22938072,3
815583462128136193,3
422576603,2
2214199775,3
4538761696,3
704380840810311681,3
2996175338,0
257163755,1
2659975664,3
2992374258,3
2220098036,1
1918370294,3
2903114232,3
807295843049078791,3
244187644,2
799286056462024704,3
799582976,0
4876534274,3
94110213,3
471597576,3
2923168266,3
819936651489275904,3
362545693,0
1328633264,2
366705398,0
2883060263,3
3247440428,3
598868525,0
21365300,3
563610173,3
237109824,3
3364618823,2
231080521,3
520749642,0
409206882,0
104596046,3
61080143,0
19923537,3
49545811,3
86901332,3
257688155,0
3234595423,3
4633133668,3
279052901,1
791480806531211264,3
2999190128,3
2260468339,3
715979945080713216,3
1654784630,3
387536319,3
818223548791541760,3
2309882507,2
38273676,3
94503566,3
479068816,1
2854355602,3
1110049428,2
758783266367438849,3
810131828896133120,3
4775477914,3
778376409140105216,3
3340370591,3
707016020947390465,3
44171944,2
67764905,0
386794155,3
2516845228,3
22282356,3
782571865596432388,3
555221697,3
817605886961012738,3
41026243,3
1613103812,3
3514958542,3
109839055,2
488374992,3
539886300,3
226099935,0
737819475622252547,3
84935396,3
412877541,3
1939232209,3
185598696,3
594543338,3
2926149009,3
1321778814,3
26084091,3
2905080573,3
736066991170015236,3
17433343,3
306053888,0
50201347,3
152699657,3
2866283279,3
2449867537,3
93061906,3
15171099,1
2944533281,0
1174073443,0
2597585700,1
16122674,0
3231056692,3
1521047006,0
2828534585,3
739664248201043968,0
25953088,3
757997707319390208,3
3302490251,3
729393974,3
2984248145,3
21234525,1
31066684,3
2253783906,2
1461715812,0
1263010662,3
874,1
33031030,3
3195536250,3
1129579387,3
326632316,3
51118975,3
30278532,2
15598478,3
2152989585,2
2425750418,3
804802302196518912,3
586548134,3
16449692,0
1194984367,3
105382838,3
23593915,0
32921077,2
1340212160,3
2844628506,3
18219972,3
3044148173,1
720116425852108800,2
1050936272,3
2387084241,3
3625452498,3
49808343,0
2171864024,3
3158705113,3
14681050,2
1117127647,3
3116368864,3
3139306472,3
94437543,0
93979632,0
807053294371803136,3
796385046575902720,3
2994471930,3
2896430075,3
733742076,3
912655357,3
464258049,3
35128326,3
3913548807,2
549192712,3
19268619,0
1907491855,3
734040651822735362,3
349570069,3
24380443,3
3234202658,0
163578919,0
65537065,3
181142578,0
310487902,3
736559237216624640,3
2228356152,3
3380085821,3
62696370,2
45614146,0
581305411,0
16227188,3
94897222,3
422184009,3
1004143693,0
1538655313,3
2532836437,3
1039008854,3
461505624,0
418251866,0
127272034,3
711663820020826113,3
15991919,1
158991477,0
102630522,3
2913271999,3
85460092,2
103154813,1
2932452203,3
2334262405,0
4417389711,3
1009255568,3
4839703701,3
53216407,3
614815258,3
2558264486,3
820908232583487488,3
118752437,1
749881173749424128,3
1242432703,2
2884502725,3
1526990022,3
1195902152,3
37225676,2
297162274,2
2671361424,0
3115844819,3
2527069398,3
22807768,3
586024159,3
1443976742,3
3514959078,3
4871029991,3
746340042218569728,3
781638952230924288,3
611058926,3
2523792626,3
809418308185419776,3
83625209,1
257164538,3
617743614,3
3249931519,3
289057666,3
2616591638,3
2937586969,0
2198865180,3
767862317308444672,3
215352610,2
2228225316,3
3420980518,3
424412458,3
788868523212742656,3
531891503,3
745359396381859840,3
21628216,3
130417980,3
15992129,0
3360687430,3
182453577,3
1965688142,3
3235251537,3
54658388,3
317064541,3
62522718,0
865207650,3
698866607850807298,2
2375943529,2
759463842799767552,3
2976908652,3
2855535984,3
18963887,0
1395656058,0
165172799,2
803177953144274944,3
216532351,0
751779736292962304,3
3914466689,0
913573256,0
17565065,3
266864012,1
3328312726,3
356690841,1
1870136732,3
734839704638656512,3
109053346,0
1599428166,1
2169111985,3
788216643008593921,3
1190135220,3
1593224094,2
2312897977,3
2179728829,3
53216706,3
421397962,1
573965772,3
2501248465,2
1570637270,0
280233433,0
1969620450,3
393741797,3
3302098408,3
36177390,0
36046325,2
34604535,0
65537528,0
500303354,3
1340081660,3
376178178,3
456043436,3
393540117,0
1402142978,3
59113732,0
56755740,3
15861278,3
2622227999,3
104597024,3
1097074219,3
252488626,3
788786437625872385,0
3367896635,3
2552256096,0
15337029,2
4109239880,0
4496819788,3
273286736,2
2275411537,3
741008991107600384,0
3195405908,0
159647317,0
1937639000,3
252839517,3
809900999183712256,3
2437416548,3
283117158,3
262493799,2
793108948819832832,3
1595541108,3
32769653,3
2724441023,3
17827454,1
413533828,1
733349509,3
528877193,0
98174602,3
28968589,3
28202605,3
13895312,0
221644433,3
634390169,0
66324125,1
3597928094,3
24643236,0
2405936070,3
3183085225,3
71308290,2
817598846205194240,3
2224293564,3
3025405630,3
128059076,0
4859233995,3
156894931,1
284165844,3
2497578709,3
519046875,3
307550044,3
18482912,2
117659259,3
289146602,3
4896720622,3
152962800,3
44304114,3
551159553,3
1146619657,3
247203598,2
103941905,3
1672347613,3
21366555,3
208013099,3
3450865455,0
80873269,0
261359414,3
201414281,1
24643384,0
778628547531403264,3
32376640,3
1269958465,0
473302850,0
3258756065,0
95029065,0
1563690828,3
4462610255,3
17172311,3
122160986,3
2987263844,3
943327082,1
157812590,3
820272352554524672,3
457967475,3
11025592,1
1572734840,3
279185276,1
240256896,3
202025963,0
14944132,3
1736312714,3
14813068,3
2548373630,0
117442447,3
325322643,0
106956692,0
53086104,3
48760731,3
728274848754110464,3
710281119,3
138282915,0
3388606372,3
2718304165,3
2822899624,3
297404329,3
2338719661,0
2295072686,3
526911411,0
3188197304,3
1335691658,3
1705248698,3
240519100,3
2271741886,3
167969099,1
369493957,3
2170161095,0
3075999689,1
163206938,0
817326459702407168,3
46139343,3
1674446802,3
760612819,3
4020504532,3
2578843607,3
365430744,3
747983657344761856,3
292292574,3
109184991,3
919865317,3
3427796968,3
274860023,3
797456378344378368,3
80873474,2
1497738242,1
290195473,3
728673283,3
1255409684,3
47319064,3
1087113241,0
34211868,3
715098386639294464,3
794645935787741184,3
2756446245,3
18221095,3
39323693,3
215746607,0
214435890,3
36819163,3
142477368,0
20840799,3
2900363326,3
24794805,1
740966655984033792,3
377620563,3
53479508,2
3260328974,3
30148694,3
4611639383,3
390989912,3
406456418,3
2289961069,3
121636980,3
193726581,3
3064989814,3
758889723465076736,3
1571109535,3
715445893810368512,0
787695601,3
703291600592502784,3
29886607,3
1080952976,3
1297352851,1
3023440022,3
3562670235,2
103680159,3
21498018,3
47974566,3
75803678,3
277938548,3
3438414010,3
735080905169985536,3
752355517,3
4414833013,0
701443786094686208,3
377356662,3
336201931,3
2896562383,3
210897107,1
152570075,3
802968876212428801,3
3300983164,3
364775658,3
1923614958,3
1566968047,3
169740531,0
176949501,0
2467780310,3
418054529,3
2171513900,3
3235907851,3
3796042114,3
92277010,3
1295911188,1
746811384063737856,3
410781978,0
23505967,0
2555906335,3
3707111715,0
560728357,0
740165930,3
2735232733,3
103156017,3
1280837946,3
3198113503,3
734150371203907584,3
2824472896,3
383912260,3
86378821,2
28969287,3
210766152,2
2245003593,3
25823563,3
587336014,0
817738377613152258,3
57018704,1
2353662290,3
2258110807,3
3601205593,3
783944028,1
1167329629,3
283773281,3
42207586,0
546179427,3
4693428583,1
2416576872,3
122554732,3
22808941,2
113248629,3
250743158,0
438962552,3
1233127801,3
599001467,3
178129277,3
50987413,3
17172869,1
336333191,0
1467615626,0
255723925,2
3152021910,3
565881925,3
293210528,3
4907862434,2
259787175,3
31590834,0
136317370,3
3231975869,3
3375368638,0
809383263668174848,3
4834068928,3
198707651,3
2498890181,0
909356108,0
243665363,0
415107541,0
21760471,3
594020829,3
30411236,3
248777189,1
512797777,3
376572396,1
4926736881,3
1115556338,3
761063268580413440,3
221514228,2
16648695,1
169347579,1
1262619132,3
3258714622,3
2495613440,3
81267202,3
774528003057422336,3
521011629,3
1588070928,3
2920942103,3
616303130,3
214829602,3
2815167012,3
786200128012951552,3
1577585196,1
19139122,0
16187827,3
490474040,3
795412114806476800,3
469633595,1
25430588,0
90442303,3
47450688,3
4834593351,3
92670543,2
333449809,3
514067027,3
809765461,0
3060323155,3
1046612576,3
48499297,3
46926439,3
16648808,3
126749289,3
19270250,3
216271468,0
488114802,0
805126420380995584,3
461809981,3
808987816822587392,3
560597628,3
754055311376338944,0
3289604501,3
344459915,3
1714162322,0
2774272660,3
52431509,3
2613316250,3
779559182559158273,3
335547037,0
32901791,3
4470606496,3
803756608685752320,3
787332816254095361,3
798652405340577792,3
344066738,0
1387793077,3
3375499960,0
1356857802,1
371067582,3
736814810843734016,3
17304263,3
3311274715,1
17042140,3
796604326663847936,3
137628390,3
20187880,3
815425433575522304,3
2192706291,3
794036984,3
773140902059528196,3
4045540097,3
254544643,3
2823162631,0
820711119383908353,3
2186677003,3
1335626508,0
2276985613,3
4688055054,3
65932047,3
544738065,3
386665243,1
249432860,3
246156061,3
354346768,2
29625121,0
150735650,3
120326949,3
20187942,3
433457959,3
87952173,3
716495678873030656,3
40766259,3
3951168316,3
808524931789103105,3
395053889,3
800072996266180608,3
1004145481,3
101845834,3
3225291601,0
1342442323,3
2974681942,0
443681624,3
809452868893806592,3
796292125658902528,3
28183389,3
24644448,0
218762082,0
49023846,1
2719877991,3
450890601,1
119540587,1
24644464,3
42732401,1
25299827,3
810029696700313600,3
444992375,3
3016625023,3
708899208598663168,3
501877633,2
429525896,3
4624223114,3
201198479,3
1585187732,0
171573744,3
1167461282,3
92670884,2
444337063,1
145271964,3
188353451,3
30149549,0
